"",Статус,Населений пункт,Потребуючі,Що передаємо,К-сть осіб,Набір звичайний,Набір сімейний,дорослі щітки,доросла паста,шампунь,мило,жіночі прокладки,підгузки дитячі,підгузки дорослі
39,відправлено,Синельникове Дніпропетровська обл,"ВПО багатодітна сім'я із Краматорська з дітьми 13, 8, 6р.","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
40,відправлено,Краснопілля Сумська обл,самотня мама і дитина 5м.,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
41,відправлено,Іванівка Одеська обл,бабуся і внук 12р.,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,"","",""
42,відправлено,Софіївка Дніпропетровська обл,"ВПО з Лиману: мама, двоє дітей і бабуся","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,2,"",""
43,відправлено,Ромни Сумська обл,ВПО з Харкова,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
44,відправлено,Побузьке Кіровоградська обл,ВПО з Миколаївської обл: мама і донька 1р.,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
45,відправлено,Южноукраїнськ Миколаївська обл,ВПО з Одеси: молода сім'я з сином 4р.,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
46,відправлено,Одеса,"багатодітна родина і троє дітей: 10, 8 і 3р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,2,"",""
47,відправлено,Дружківка Донецька обл,"багатодітна родина і троє дітей: 9, 4 і 2р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,2,1,""
48,відправлено,Київ,ВПО з Бахмуту: сім'я з двома дітьми 13 і 9р.,"предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
49,відправлено,Немирів Вінницька обл,ВПО з Харкова: двоє пенсіонерів і онука з дитиною 5м.,"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,1,1,1,""
50,відправлено,Кривий Ріг,одинока мама і троє дітей,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,2,"",""
51,відправлено,Олексієво-Дружківка Донецька обл,"сім'я, втратили роботу через війну","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
52,відправлено,Вінниця,подружжя з інвалідністю,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
53,відправлено,Чабани Київська обл,ВПО з Бахмуту: мама і син,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,"",""
54,відправлено,Кривий Ріг,"багатодітна сім'я: діти 6,4 і 2р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,1,1,""
55,відправлено,Підгайці Тернопільська обл,"сім'я з двома дітьми 8 і 1р., одна - з інвалідністю","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,1,1,1,""
56,відправлено,Бердичів Житомирська обл,"ВПО з Донецької обл: сім'я з двома дітьми 3 і 1,8р.","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,1,1,1,""
57,відправлено,Кривий Ріг,"ВПО зі Слов'янська: пенсіонери, жінка і син 9р.","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,1,1,"",""
58,відправлено,Харків,пенсіонер-інвалід 85р.,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
59,відправлено,Кривий Ріг,ВПО з Херсонської обл: сім'я з двома дітьми 13р.,"предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
60,відправлено,Кобеляки Полтавська обл,"ВПО з Харкова, в т. ч. пенсіонер та дитина 9р.","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
61,відправлено,Львів,безробітна із проблемами зі здоров'ям,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,1,"",""
62,відправлено,Павлоград Дніпропетровська обл,одинока мама з близнюками 7р.,"предмети особистої гігієни, продукти харчування
",3,1,"","","","","","","",""
63,відправлено,Апостолове Дніпропетровська обл,подружжя пенсіонерів з мінімальною пенсією після третього інсульту,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,"","",""
64,відправлено,Тритузне Дніпропетровська обл,"ВПО із Запоріжжя: сім'я з трьома дітьми 10, 5 і 1р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,1,1,""
65,відправлено,Чечельник Вінницька обл,"багатодітна мати: 10р, 7р, 17р","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,1,"",""
66,відправлено,Кременчук,Самотня мама та дитина  ВПО 14р з Харкова,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
67,відправлено,Запоріжжя,ВПО з м.Пологи (Запорізька обл) двоє дітей 11р і 6р,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
68,відправлено,Харків,"ВПО Харківська обл. мама, дитина, внук 7р, пенсіонер 61р ","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
69,відправлено,Чорноморськ,Самотня мама з дитиною 2р,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
70,відправлено,"Доброслав, Одеська обл, ","Багатодітна сімʼя, 10р, 8р, 4р","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,1,"",""
71,відправлено,Чорноморськ,Самотня мама з дитиною 2р,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
72,відправлено,"Зміїв, Харківська обл","Багатодітна родина 16р, 12р, 9р","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,1,"",""
73,відправлено,Берегово,"ВПО з Харкова, мама 2 дітей, 5р, 13р","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
74,відправлено,Великий Любінь Львівська обл,ВПО з Харківської обл: мама з донькою 2р. і пенсоінерка,"предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,"",""
75,відправлено,Одеса,"Багатодітна сімʼя 7 дітей - 1р, 5р, 15р, 3р, 11р, 13р, 2р, бабуся-пенсіонер та двоє мам, статус малозабезпечної та у однієї кіста через раніший інсульт","предмети особистої гігієни, продукти харчування
",10,"",2,7,2,2,5,3,1,""
76,відправлено,"Новоселівка, Дніпропетровська обл","Багатодітна сімʼя 15р, 17р, півроку, 8р","предмети особистої гігієни, продукти харчування
",6,"",2,5,2,2,3,3,1,""
77,відправлено,Київ,ВПО з Луганської обл. Мама з дитиною 4місяці,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
78,відправлено,Дніпро,"ВПО з Краматорська 2 дітей 12р, 2р","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,2,"",""
79,відправлено,м Рені Одеська обл.,Опікуни 3 дітей 17р 7р 14р,"предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,1,"",""
80,відправлено,Харків,"мама і двоє дітей 11р, 2р","предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,2,1,1,""
81,відправлено,Словʼянськ,"Сімʼя з дитиною 3р, безробітні","предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,"",""
82,відправлено,"Виноградово, Закарпатська обл","ВПО з Луганської обл. двоє дітей 2р, 7р","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,1,""
83,відправлено,Бровари,ВПО з Херсон. обл (Каїри) дитина 14р,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,"","",""
84,відправлено,Запоріжжя,"ВПО з Пологи (запорізька обл), мама, дитина 13р та бабуся-пенсіонерка","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
85,відправлено,"Новопокровка, Харківська обл",Самотня мама-інвалід з дитиною 10р ,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
86,відправлено,Одеса,"ВПО з Херс. обл, сімʼя з дитиною 2р","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,1,""
87,відправлено,Київ,"ВПО сімʼя з Енергодара, дитина 5р, мати вагітна (8місяць)","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,2,1,1,""
88,відправлено,Харків,"ВПО з Ізюма, Самотня мама з дитиною 7р","предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
89,відправлено,СМТ Війтівці Хмельницька обл,"ВПО з Херс. обл, сімʼя з двома дітьми 7р 16р","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,2,"",""
90,відправлено,Харків,"ВПО з Ізюму мати з дитиною 8р, та бабуся-інвалід, неходяча","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,"","",""
91,відправлено,Одеса,"самотня мама з дитиною 2р, пенсіонерка-інвалід 3г","предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,1,""
92,відправлено,Одеса,"ВПО з Щастя, самотня мама 14р і 2 р","предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,1,""
93,відправлено,Мерефа Харківськ. обл,ВПО з Харкова. Самотня мама з дитиною 3р,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
94,відправлено,"Місто Ананьїв, Одеська обл","Багатодітна сімʼя 17р, 14р, 11р, 9р, 2р, чоловік безробітній","предмети особистої гігієни, продукти харчування
",7,"",2,6,2,2,4,2,"",""
95,відправлено,Дніпро,"Сімʼя з 2 дітьми 5р, 13р, жінка-інвалід 2гр, чоловік та зять безробітні","предмети особистої гігієни, продукти харчування
",6,"",2,6,2,2,3,"","",""
96,відправлено,Київ,Одинокий інвалід 3гр ,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
97,відправлено,"Михайло-Лукашово, Запорізька обл","ВПО багатодітна сім'я із Гуляйполя (запорізька обл), діти 15р, 13р, 10р","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
98,відправлено,Біла Церква,Сімʼя з двома дітьми 4р та 12р (аутизм),"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,"",""
99,відправлено,"Владичень, Одеська обл","Сімʼя з дитиною 3р, безробітні","предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,"",""
100,відправлено,Запоріжжя,"ВПО, з окупації з Чернігівщини. Мама з дочкою 18р","предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,2,"",""
101,відправлено,Біла Церква,Сімʼя безробітні дитина 4р та племінник 16р ,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
102,відправлено,Лозова,"ВПО з Ізюму, мама з дитиною 2р.","предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,1,""
103,відправлено,Бердичів Житомирська обл,"ВПО, мама з дитиною 8р та бабуся-інвалід","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
104,відправлено,Одеса,"ВПО сімʼя  з Миколаївської обл: батьки безробітні, двоє неповнолітніх 11р та 16р та син 20р","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
105,ВІДПРАВЛЕНО 19 ЖОВТНЯ,"","","","","","","","","","","","",""
106,відправлено,Гнівань Вінницька обл.,ВПО сімʼя з Харківськ. обл 2 дітей 9р 12р ,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
107,відправлено,Піщанка Вінницька обл,ВПО з Ізюму сімʼя 2 дітей  15р  15р,"предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
108,відправлено,Свалява,"ВПО з Харкова сімʼя 2 дітей 16р 10р, бабуся 67р","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
109,відправлено,Диканька,ВПО з Харкова сімʼя дитина 7р,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
110,відправлено,Косівщина Сумська обл,Самотня мама з дитиною 3 місяці,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,розмір 2 - 1 шт,""
111,відправлено,Кременчук,"ВПО з Харкова: сім'я з дитиною 8р., пенсіонером і людиною з інвалідністю","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,1,1,"",""
112,відправлено,Ширяєво Одеська обл,Сімʼя з 2 дітьми 1.7р та 3р,"предмети особистої гігієни, продукти харчування
",4,"",1,2,1,1,2,1,розмір 5 - 1 шт,""
113,відправлено,Пересічне Харківська обл,"ВПО з Харкова, 2 дітей 8р, 15р","предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,1,"",""
114,відправлено,Харків,"ВПО з Харківськ обл, Самотня жінка","предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,1,"",""
115,відправлено,Краснопілля Сумська обл,сім'я з прикордонної зони з дитиною 8р.,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
116,відправлено,Іванівка Одеська обл,сімʼя з 1р дитиною,"предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,розмір 4 - 1шт,""
117,відправлено,Харків,"Безробітня сімʼя мама-пенсіонерка 84р, син та дочка з інвалідністю","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,"","",розмір L
118,відправлено,Чорноморськ,"Одинока мама з дитиною 6р, бабуся з інвалідністю  2гр","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
119,відправлено,Солоницівка Харківська обл,"Одинова пенсінерка 82р, ВПО","предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
120,відправлено,Буринь Сумська обл,Самотня пенсіонерка,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
121,відправлено,Первомайський Харківська обл,"ВПО багатодітна сімʼя з Харківськ.обл 7р, 3р, 1р","предмети особистої гігієни, продукти харчування
",4,"",1,2,1,1,2,1,розмір 4 - 1 шт,""
122,відправлено,с. Шевченкове Одеська обл,"Багатодітна сімʼя 2р, 5р, 7р","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,розмір 6 - 1 шт,""
123,відправлено,Денихівка Київська область,"ВПО з Київськ. обл, сімʼя двоє дітей 5р, півроку","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,розмір 3 - 1 шт,""
124,відправлено,с. Верба Рівненська обл,"багатодітна родина з трьома дітьми 4, 4, 2р.","предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,2,розмір 6 - 1 шт,""
125,відправлено,смт.Сосниця Чернігівська обл,Самотня безробітня мама з дитиною з інвалідністю 4р,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,"",""
126,відправлено,Харків,ВПО з Харківськ. обл Мама з дитиною 1 рік,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,розмір 4 - 1 шт,""
127,відправлено,Чернігів,Мама з двома дітьми 2р та 13р,"предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,1,1,"",""
128,відправлено,Дніпро,ВПО Самотня жінка з Бахмуту,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
129,відправлено,Броварки Полтавська обл,ВПО з Харківськ. обл. двоє дітей 8 та 14р,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
130,відправлено,Синельникове Дніпропетровська обл,ВПО: подружжя пенсіонерів із Донецької обл,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
131,ВІДПРАВЛЕНО 28 ЖОВТНЯ,"","","","","","","","","","","","",""
132,відправлено,Київ,ВПО із Запорізької обл: бабуся і внук,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,"","",""
133,відправлено,Кривий Ріг,ВПО з Бахмуту: мама і доньки 10 і 15р.,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,3,"",""
134,відправлено,с. Сушки Полтавська обл,ВПО з Харкова: сім з двома дітьми 14 і 3р.,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,1,2,"",""
135,відправлено,Теплодар,"Самотня багатодітна вагітна мама 7р 9р 14р, бабуся пенсіонер діабетик","предмети особистої гігієни, продукти харчування
 /// тонометр, глюкометр, знеболююче, ліки для пониження тиску",5,"",1,5,1,1,1,2,розмір 2 - 1 шт,""
136,відправлено,Синельникове Дніпропетровська обл.,Самотня жінка та лежача мама 84р ,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,"","",2
137,відправлено,Близнюки Харківська обл.,ВПО з Харківськ обл. сімʼя 2 дітей 6р 1р ,"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,розмір 4 - 1 шт,""
138,відправлено,Одеса,ВПО з Херсонс. обл. самотня мати з дитиною 17р,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,2,"",""
139,відправлено,Березанка Миколаївська обл,Самотня мама з дитиною півроку,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,розмір 3 - 1 шт,""
140,відправлено,Первомайський Харківська обл,Самотня пенсінерка,"предмети особистої гігієни, продукти харчування
",1,1,"",1,1,1,1,"","",""
141,відправлено,Харків,ВПО з Салтівки сімʼя ,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
142,відправлено,Любар Житомирська обл,"Малозабезпечена сімʼя двоє дітей 3р 7р, тато з інвалідністю","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,"","",""
143,відправлено,Вишгород,ВПО з Бахмуту сімʼя 2 дітей 10р 14р,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,2,"",""
144,відправлено,Ворожба Сумська обл,Самотня мама з дитиною 1 р,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,розмір 4 - 1 шт,""
145,відправлено,Харків,Самотній чоловік з інвалідністю та дитиною 7р,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,"","",""
146,відправлено,Світловодськ Кіровоградська обл,ВПО сімʼя з Харкова 2 дітей 8 місяців та 3 роки,"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,розмір 3 - 1 шт,""
147,відправлено,Київ,ВПО з Нової Каховки: мама і донька 9р.,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
148,відправлено,Кривий Ріг,"Мама-інвалід, двоє дітей 17 і 14р. і пенсіонерка після інсульту","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,1,2,"",""
149,відправлено,Христиніка Черкаська обл,ВПО з Миколаєва мама з сином 12р,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
150,відправлено,Нововолинськ,ВПО  з Миколаївськ.обл мама з 2 дітьми та 3 племінниками 13р 9р 17р 5р ,"предмети особистої гігієни, продукти харчування
",6,"",2,6,2,2,3,2,"",""
151,відправлено,Калинівка Київська обл,"ВПО з Краматорська 2 дітей 5р 12р, бабуся 68р","предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
152,відправлено,Ізмаїл,ВПО з Харківськ. обл мама з дитиною півроку,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,розмір 3 - 1 шт,""
153,відправлено,Запоріжжя,Сімʼя з Запоріжжя 2 дітей 1р та 5р,"предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,розмір 4 - 1 шт,""
154,відправлено,Голубівка Дніпропетровська обл.,"ВПО з Харкова сімʼя син 15р, племінник 3р, мама з інвалідністю","предмети особистої гігієни, продукти харчування
",4,"",1,3,1,1,2,1,"",""
155,відправлено,Дніпро,ВПО багатодітна сімʼя 13р 11р 8р,"предмети особистої гігієни, продукти харчування
",5,"",1,5,1,1,2,2,"",""
156,відправлено,Хорол Полтавська обл,"ВПО Харківська обл. мати одиначка з сином 16р, бабуся","предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,2,"","",""
157,відправлено,Ситне Рівненська обл,Багатодітна безробітна сімʼя 2р 3р 5 місяців ,"предмети особистої гігієни, продукти харчування
",5,"",1,4,1,1,2,1,розмір 3 - 1 шт,""
158,відправлено,Славутич,ВПО з Чернігова мама з дитиною 5р,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
159,відправлено,Обухів,ВПО з Херсонс.обл сімʼя дитина 6р,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,2,1,"",""
160,відправлено,Ромни Сумська обл,ВПО з Краматорська сімʼя 2 дітей по 12р,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
161,відправлено,Київ,ВПО з Миколаєва сімʼя 2 дітей 3р 12р,"предмети особистої гігієни, продукти харчування
",3,1,"",2,1,1,2,1,"",""
162,відправлено,Іркліїв Черкаська обл,ВПО з Луганської обл,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,"","",""
163,відправлено,Ізяслав Хмельницька обл,ВПО з Києва самотня мама з дитиною 8р,"предмети особистої гігієни, продукти харчування
",2,1,"",2,1,1,1,1,"",""
164,відправлено,Запоріжжя,Сімʼя з Запоріжжя 2 дитини 9р 12р,"предмети особистої гігієни, продукти харчування
",4,"",1,4,1,1,2,1,"",""
165,відправлено,Запоріжжя,Сімʼя з Запоріжжя дитини 8р,"предмети особистої гігієни, продукти харчування
",3,1,"",3,1,1,1,1,"",""
166,відправлено,Камʼянське Дніпропетровська обл,ВПО з Словʼянська мама з дитиною 4р,"предмети особистої гігієни, продукти харчування
",2,1,"",1,1,1,1,1,"",""
